Study,Equipment,Component,EmissionsKgD
Allen2013,SE,OTH,1.089732584
Allen2013,SE,TC,1.609832226
Allen2013,SE,TC,3.343497699
Allen2013,SE,TC,0.173366547
Allen2013,SE,TC,0.02476665
Allen2013,WG,TC,3.43477174
Allen2013,OTH,OTH,3.577887229
Allen2013,OTH,OTH,2.067223732
Allen2013,SE,VT,0
Allen2013,WG,REG,0.998277193
Allen2013,WG,REG,1.129629455
Allen2013,SE,OTH,9.253228822
Allen2013,SE,OTH,0
Allen2013,SE,OTH,26.8250018
Allen2013,SE,TC,0.18786908
Allen2013,SE,TC,0
Allen2013,OTH,REG,0
Allen2013,OTH,REG,0.343782351
Allen2013,OTH,VL,0.135645332
Allen2013,WG,TC,0.913900274
Allen2013,SE,VL,1.089650327
Allen2013,SE,VL,0.158175047
Allen2013,OTH,TC,0.228475069
Allen2013,OTH,OTH,5.026451509
Allen2013,OTH,VL,1.880525564
Allen2013,WG,OTH,2.338070267
Allen2013,SE,REG,0.577949954
Allen2013,SE,TC,0.709302216
Allen2013,WG,PRV,0
Allen2013,SE,VL,0
Allen2013,SE,REG,2.254690639
Allen2013,OTH,OTH,2.881935403
Allen2013,OTH,OTH,2.915840526
Allen2013,SE,REG,0.174952331
Allen2013,OTH,VT,1.994456569
Allen2013,OTH,VT,3.848951274
Allen2013,OTH,VT,2.764246824
Allen2013,OTH,OTH,2.676770659
Allen2013,WG,REG,3.356258217
Allen2013,SE,REG,1.835453712
Allen2013,OTH,REG,2.906813845
Allen2013,OTH,OTH,2.149793769
Allen2013,FL,TC,0
Allen2013,WG,VT,0.264829667
Allen2013,SE,REG,0.131042006
Allen2013,SE,TC,0.058240892
Allen2013,SE,TC,0.495047579
Allen2013,WG,TC,0.116481783
Allen2013,SE,OTH,0.044507926
Allen2013,SE,OTH,0.014835975
Allen2013,SE,OTH,0.074179877
Allen2013,SE,OTH,0.076428128
Allen2013,SE,OTH,0.061142502
Allen2013,OTH,OTH,0.13757063
Allen2013,WG,OTH,0.917294044
Allen2013,WG,OTH,0.116481783
Allen2013,WG,VL,4.033181748
Allen2013,WG,OTH,1.514263183
Allen2013,WG,OTH,1.74722675
Allen2013,WG,TC,0.116481783
Allen2013,WG,REG,0.131042006
Allen2013,WG,REG,0.072801115
Allen2013,SE,TC,0.931854267
Allen2013,SE,F,0.407686242
Allen2013,SE,F,2.955725252
Allen2013,SE,F,0.262084012
Allen2013,OTH,VL,1.033775827
Allen2013,SE,TC,0.291204458
Allen2013,SE,TC,0.611529362
Allen2013,SE,OTH,0.649980673
Allen2013,SE,TC,0.305764681
Allen2013,SE,VL,2.271394775
Allen2013,SE,TC,0.189282898
Allen2013,SE,VL,0.072801115
Allen2013,SE,REG,0.145602229
Allen2013,SE,TC,0.291204458
Allen2013,SE,F,0.087361337
Allen2013,OTH,OTH,0
Allen2013,SE,REG,0.030190332
Allen2013,SE,REG,0.105666162
Allen2013,SE,REG,0
Allen2013,SE,OTH,0
Allen2013,OTH,TC,0.524168025
Allen2013,OTH,VL,0
Allen2013,SE,TC,0.046333854
Allen2013,OTH,TC,0.931854267
Allen2013,OTH,TC,0.10192156
Allen2013,OTH,VL,0.087361337
Allen2013,OTH,OTH,0
Allen2013,OTH,VL,0.80081226
Allen2013,SE,TC,0.436806687
Allen2013,OTH,VT,2.67309396
Allen2013,OTH,VT,2.768076994
Allen2013,OTH,VL,0.759864273
Allen2013,SE,VL,0.081414029
Allen2013,SE,VL,0
Allen2013,OTH,VL,0
Allen2013,SE,OTH,0.198713133
Allen2013,SE,REG,0.015285626
Allen2013,SE,VL,6.190678365
Allen2013,NR,PC,1.167790107
Allen2013,NR,PC,0.157115926
Allen2013,NR,PC,2.042507044
Allen2013,NR,PC,1.544973277
Allen2013,NR,PC,1.479368775
Allen2013,NR,PC,2.403974259
Allen2013,NR,PC,0.845353586
Allen2013,NR,PC,2.324722361
Allen2013,NR,PC,2.800233753
Allen2013,NR,PC,0.374545166
Allen2013,NR,PC,3.584932302
Allen2013,NR,PC,0
Allen2013,NR,PC,0
Allen2013,NR,PC,0.237229034
Allen2013,NR,PC,0.395182982
Allen2013,NR,PC,4.24612801
Allen2013,NR,PC,0.14312791
Allen2013,NR,PC,5.02675238
Allen2013,NR,PC,0.748665248
Allen2013,NR,PC,7.727294882
Allen2013,NR,PC,1.442334042
Allen2013,NR,PC,14.10282175
Allen2013,NR,PC,3.098347202
Allen2013,NR,PC,9.134782269
Allen2013,NR,PC,0.318014546
Allen2013,NR,PC,0.371016971
Allen2013,NR,PC,0.310555154
Allen2013,NR,PC,9.142009245
Allen2013,NR,PC,12.78824415
Allen2013,NR,PC,0.913572629
Allen2013,NR,PC,0.339326976
Allen2013,NR,PC,2.218676384
Allen2013,NR,PC,1.774941107
Allen2013,NR,PC,0.495939427
Allen2013,NR,PC,0.730858103
Allen2013,NR,PC,0
Allen2013,NR,PC,0
Allen2013,NR,PC,0.753718224
Allen2013,NR,PC,8.614743077
Allen2013,NR,PC,0.053177426
Allen2013,NR,PC,0.522880628
Allen2013,NR,PC,4.038848335
Allen2013,NR,PC,3.540548865
Allen2013,NR,PC,0.340941743
Allen2013,NR,PC,0
Allen2013,NR,PC,3.936876813
Allen2013,NR,PC,0.290641912
Allen2013,NR,PC,2.668621196
Allen2013,NR,PC,1.347521594
Allen2013,NR,PC,1.454393724
Allen2013,NR,PC,1.163514979
Allen2013,NR,PC,0
Allen2013,NR,PC,2.221255869
Allen2013,NR,PC,3.014561537
Allen2013,NR,PC,2.432804047
Allen2013,NR,PC,0.185104656
Allen2013,NR,PC,1.031297368
Allen2013,NR,PC,3.95207825
Allen2013,NR,PC,0.447902202
Allen2013,NR,PC,2.133015105
Allen2013,NR,PC,0.719892598
Allen2013,NR,PC,4.772621298
Allen2013,NR,PC,0
Allen2013,NR,PC,2.139801264
Allen2013,NR,PC,1.822793669
Allen2013,NR,PC,1.664289872
Allen2013,NR,PC,1.426534176
Allen2013,NR,PC,12.56176669
Allen2013,NR,PC,4.213925982
Allen2013,NR,PC,6.214207303
Allen2013,NR,PC,2.747053014
Allen2013,NR,PC,0
Allen2013,NR,PC,4.480630159
Allen2013,NR,PC,0.346715429
Allen2013,NR,PC,0
Allen2013,NR,PC,0.290590295
Allen2013,NR,PC,2.35113966
Allen2013,NR,PC,0.474100335
Allen2013,NR,PC,0.184372352
Allen2013,NR,PC,0.605794872
Allen2013,NR,PC,1.158911929
Allen2013,NR,PC,0.40254052
Allen2013,NR,PC,1.637872572
Allen2013,NR,PC,1.452951475
Allen2013,NR,PC,1.426534176
Allen2013,NR,PC,0.818936286
Allen2013,NR,PC,1.690707171
Allen2013,NR,PC,0.845353586
Allen2013,NR,PC,0.079251899
Allen2013,NR,PC,0
Allen2013,NR,PC,0.473350089
Allen2013,NR,PC,38.78841011
Allen2013,NR,PC,17.51395331
Allen2013,NR,PC,41.1025661
Allen2013,NR,PC,3.444936762
Allen2013,NR,PC,6.232442845
Allen2013,NR,PC,2.550831038
Allen2013,NR,PC,20.97978956
Allen2013,NR,PC,22.16434481
Allen2013,NR,PC,0.262138666
Allen2013,NR,PC,0.576705065
Allen2013,NR,PC,0.340780266
Allen2013,NR,PC,18.66427303
Allen2013,NR,PC,0.422676793
Allen2013,NR,PC,0.836609005
Allen2013,NR,PC,3.929546603
Allen2013,NR,PC,6.190381635
Allen2013,NR,PC,0.457549947
Allen2013,NR,PC,4.460815183
Allen2013,NR,PC,0.498561697
Allen2013,NR,PC,0.30268172
Allen2013,NR,PC,0
Allen2013,NR,PC,0
Allen2013,NR,PC,2.125469592
Allen2013,NR,PC,40.30520116
Allen2013,NR,PC,8.528118735
Allen2013,NR,PC,2.387873246
Allen2013,NR,PC,0
Allen2013,NR,PC,3.790884556
Allen2013,NR,PC,0.184430318
Allen2013,NR,PC,6.692185837
Allen2013,NR,PC,3.188009789
Allen2013,NR,PC,0.473111601
Allen2013,NR,PC,0
Allen2013,NR,PC,1.103927069
Allen2013,NR,PC,3.095474574
Allen2013,NR,PC,1.878450383
Allen2013,NR,PC,1.243481239
Allen2013,NR,PC,0.313277899
Allen2013,NR,PC,0.992046679
Allen2013,NR,PC,0.652662289
Allen2013,NR,PC,0.208851932
Allen2013,NR,PC,1.488070019
Allen2013,NR,PC,1.912026755
Allen2013,NR,PC,15.38052554
Allen2013,NR,PC,1.586704081
Allen2013,NR,PC,1.628459451
Allen2013,NR,PC,4.231210882
Allen2013,NR,PC,3.451777298
Allen2013,NR,PC,1.711970192
Allen2013,NR,PC,0.820647662
Allen2013,NR,PC,5.0562485
Allen2013,NR,PC,1.578244914
Allen2013,NR,PC,0.853529547
Allen2013,NR,PC,0
Allen2013,NR,PC,3.414953176
