O/G,n_VENT,TB_VRU,TB_VENT,TB_FLARE,TB_DUMP,n_DUMP
Oil,27,,7.56631141,,,0
Oil,0,,,0.012298247,,0
Oil,1,,0.219663014,,,0
Oil,8,,1.494456884,,,0
Oil,4,,0.170963767,,,0
Oil,0,,,0.10686191,,0
Oil,0,,,0.0379654,,0
Oil,2,,0.612744658,,,0
Oil,2,0,1.11709589,0.00730411,,0
Oil,2,,0.273424658,0.038199609,,0
Oil,12,,0.155799087,,,0
Oil,6,,0.176329817,,,0
Oil,0,,,0.081572897,,0
Oil,0,3.090012453,,,,0
Oil,0,,,0.205479452,,0
Oil,2,,1.610958904,,,0
Oil,15,,5.259744292,0,,0
Oil,32,,6.746575342,0.295047418,,0
Oil,0,,,0.035274007,,0
Oil,2,,7.872434247,,,0
Oil,2,,0.835692877,,,0
Oil,0,,,0.010245656,,0
Oil,3,,0.24346137,,,0
Oil,0,,,0.186913022,,0
Oil,0,0,,0.114155251,,0
Oil,4,,6.589041096,,,0
Oil,0,,,0.017973137,,0
Oil,0,0,,0.071850715,,0
Oil,6,,0.01369863,,,0
Oil,18,,3.888776819,0.064055644,,0
Oil,0,,,0.234833659,,0
Oil,0,,,1.506849315,,0
Oil,20,,0.038356164,0,,0
Oil,6,,0.148675799,,,0
Oil,3,,0.347031963,,,0
Oil,0,,,,,0
Oil,2,,0.964329726,,,0
Oil,0,0,,,,0
Oil,1,,5.123287671,,,0
Oil,4,,0.095890411,,,0
Oil,24,,4.880833305,,,0
Oil,143,,2.667157477,,,0
Oil,0,,,0.389618995,,0
Oil,0,,,0.018655434,,0
Oil,60,,11.31141553,1.746575342,,0
Oil,4,,53.69863014,,,0
Oil,1,,0,,,0
Oil,9,,10.21908696,,,0
Oil,8,,1.165746644,,,0
Oil,10,,26.34024659,,,0
Oil,0,,,0.068493151,,0
Oil,0,,,0.055525114,,0
Oil,0,,,0,,0
Oil,4,,0.842326027,,,0
Oil,2,,1.263039178,0.031322237,,0
Oil,10,,3.107221616,,,0
Oil,34,,1.94743755,,,0
Oil,17,,0.297833505,0.00396089,,0
Oil,1,,1052.60274,,,0
Oil,17,,0.801136986,,,0
Oil,0,,,0.207727917,,0
Oil,4,,0.480547945,,,0
Oil,5,,27.26575342,,,0
Oil,120,,1.904524788,,,0
Oil,0,,,0.009151872,,0
Oil,15,,5.508876709,0.336815341,,0
Oil,0,,,0.037873534,,0
Oil,9,,1.075669132,,,0
Oil,2,,0.175171918,,,0
Oil,5,,35.56849315,,,0
Oil,0,,,0.116806404,,0
Oil,5,,0.602739726,0.068493151,,0
Oil,8,,1.168670479,,,0
Oil,8,,0.750123288,0.032408053,,0
Oil,0,,,0.078538813,,0
Oil,11,,7.783790037,,,0
Oil,5,,3.492821918,,,0
Oil,0,,,0.043013699,,0
Oil,0,0,,0.080084299,,0
Oil,0,,,0.115890411,,0
Oil,0,,,0.47260274,,0
Oil,0,0.696347032,,0.049762371,,0
Oil,1,,2.191780822,,,0
Oil,2,,0.375004932,,,0
Oil,0,,,0.014127809,,0
Oil,4,,2.321917808,,,0
Oil,0,,,0.083453196,,0
Oil,0,,,0.130268274,,0
Oil,2,,0.089871644,0.00312025,,0
Gas,3,,1.865150685,,,0
Gas,3,,0.371123196,,,0
Gas,2,,0.594993836,,,0
Gas,7,,0.133228964,,,0
Gas,2,,1.591780741,,,0
Gas,34,,1.713343328,0.13013826,,0
Gas,0,0.050641673,,0.123751317,,0
Gas,66,,0.050643421,,,0
Gas,0,,,0,,0
Gas,4,,0.113720685,,,0
Gas,16,,0.412779212,,,0
Gas,0,0.04407347,,0.20440274,,0
Gas,15,0,3.086129808,0.026815479,,0
Gas,11,,0.222764633,0.133614331,,0
Gas,45,,0.026788432,,,0
Gas,3,,0.275159817,,,0
Gas,1,,2.54246568,,,0
Gas,0,,,0.003276986,,0
Gas,0,,,0.031232877,,0
Oil,0,,,2.759295499,,0
Oil,2,,11.65753425,,,0
Oil,4,,9.260273973,,,0
Oil,3,,1.369863014,,,0
Oil,9,,11.73211568,,,0
Oil,6,,1.296803653,,,0
Oil,12,,8.228310502,,,0
Oil,12,,1.050228311,,,0
Oil,11,,1.125778331,,,0
Oil,65,,0.12687039,,,0
Oil,2,,0.956761918,,,0
Oil,5,,1.860821918,,,0
Oil,0,,,0.050401918,,0
Oil,2,,0.054794521,,,0
Oil,3,,5.03196347,,,0
Oil,0,,,0.010717329,,0
Oil,6,,3.538812785,,,0
Oil,25,,6.555616438,,,0
Oil,20,,2.242465753,0.01826484,,0
Oil,5,,0.169863014,,,0
Oil,0,,,2.054794521,,0
Oil,0,,,0.085172016,,0
Oil,2,,0.18630137,,,0
Gas,1,,2.547945205,,,0
Gas,8,,1.29109589,,,0
Gas,2,,0.219178082,0.006027397,,0
Gas,11,,1.744358655,,,0
Gas,16,,0.582517945,,,0
Gas,0,,,0.012785388,,0
Gas,0,,,1.096624658,,0
Gas,0,0,,0.038578721,,0
Gas,2,,1.853426986,,,0
Gas,2,,0,,,0
Gas,0,,,0.005547397,,0
Gas,1,,146.0146526,,,0
Gas,0,0,,,,0
Gas,3,,4.760197443,,,0
Gas,4,,0.160302466,,,0
Gas,2,,0.36281274,,,0
Gas,7,,1.822280665,,,0
Gas,36,,2.564627093,0.039846575,,0
Gas,3,,0.324528676,,,0
Gas,0,0,,,,0
Gas,2,,0.01369863,,,0
Gas,3,,0.475039087,,,0
Gas,0,0,,,,0
Gas,0,,,0.02739726,,0
Gas,0,,,0.011620164,,0
Gas,6,,0.13504242,,,0
Gas,2,,0,,,0
Gas,3,,0.294981279,,,0
Gas,258,,0.01882688,,,0
Gas,11,0,11.15204431,0.023168592,,0
Gas,0,,,0.093150685,,0
Gas,6,,0.169432922,,,0
Gas,2,,1.676093973,,,0
Gas,0,,,0.045649833,,0
Gas,15,,0.482861059,,,0
Gas,0,,,0.012054795,,0
Gas,9,,0.560730594,,,0
Gas,0,0,,0.066868311,,0
Gas,29,,0.140671318,,,0
Gas,0,,,0.395738204,,0
Gas,10,,2.533831753,,,0
Gas,4,,24.83561644,,,0
Gas,0,0,,,,0
Gas,2,,0.338920548,,,0
Gas,4,,1.981643836,0.163287671,,0
Gas,0,,,0.00780137,,0
Gas,0,,,0.002272511,,0
Gas,2,,1.45295589,,,0
Gas,0,,,0.005573973,,0
Gas,0,,,0.037728904,,0
Gas,1,,2.584172055,0.037909315,,0
Gas,2,,0.159630137,,,0
Gas,40,,0.04109589,0,,0
Gas,1,,0.065753425,,,0
Gas,3,,68.7058295,,,0
Gas,0,,,0.047584715,,0
Gas,1,,0,,,0
Gas,0,,,0.11741683,,0
Gas,0,0,,0.01629863,,0
Gas,1,,7.813698625,,,0
Gas,20,,4.525438298,,,0
Gas,16,,0.199981695,,,0
Gas,3,,0.802557078,,,0
Gas,0,,,0.00913242,,0
Gas,16,,0.150181045,,,0
Gas,18,,0.4563514,,,0
Gas,3,,0.117270046,0.006800375,,0
Gas,19,,1.336013944,0.052520384,,0
Gas,6,,1.826484018,0.0456621,,0
Gas,0,0.003299014,,,,0
Oil,2,,0,,,0
Oil,2,,0,,,0
Oil,2,,0.684931507,,,0
Oil,3,,0.082191781,,,0
Oil,5,,6.279452055,,,0
Oil,0,0,,0.002063014,,0
Oil,0,,,,,0
Oil,274,,0.666233665,,,0
