O/G,n_VENT,TB_SMALL_VENT,TB_SMALL_FLARE
Gas,2,0.136986301,
Oil,3,0.273972603,
Gas,1,1.369863014,
Oil,13,1.074815595,
Gas,31,0.017675652,
Oil,4,2.808219178,
Gas,17,0.161160355,
Gas,3,0.091324201,
Oil,1,4.657534247,
Gas,11,0.523038605,
Oil,44,5.449643836,
Gas,259,0.050043688,
Gas,14,0.066129159,
Gas,1,0.925808219,
Gas,1,0.925808219,
Gas,1,25.92263014,
Gas,23,0.442787373,
Gas,5,0.185161644,
Gas,116,0.064755786,
Oil,269,0.087554338,
Oil,2,1.988383562,
Oil,22,0.218817335,
Oil,36,0.0304414,
Oil,5,0.044186301,
Oil,2,0.110465753,
Gas,1,16.79079452,
Gas,78,0,
Gas,28,2.004164384,
Gas,362,0.514053735,
Gas,51,6.571423046,
Gas,176,0.010520548,
Gas,2,9.234936986,
Oil,85,0.005111749,
Oil,2,0.747484932,
Oil,6,5.251141553,
Gas,28,2.808219178,
Gas,69,0.270001985,
Gas,13,0.295047418,
Gas,12,0.159817352,
Gas,2,19.8630137,
Gas,35,9.362035225,
Gas,130,1.532139094,
Gas,63,0.043487715,
Gas,3,0.639269406,
Gas,2,12.05479452,
Gas,4,3.493150685,
Gas,3,0.441826484,
Oil,2,18.00589041,
Oil,3,1.826484018,
Gas,7,0.665362035,
Gas,6,1.552511416,
Gas,10,1.01369863,
Gas,10,4.082191781,
Gas,40,0.602739726,
Gas,1,0.547945205,
Oil,1,2.739726027,
Oil,7,0.11741683,
Gas,2,1.917808219,
Gas,1,1.917808219,
Gas,1,54.52054795,
Gas,4,0.410958904,
Oil,7,0.195694716,
Oil,8,0.342465753,
Gas,5,1.315068493,
Gas,6,0.319634703,
Gas,3,10.50228311,
Gas,39,0.119423955,
Gas,7,0.11741683,
Oil,7,0.11741683,
Gas,1,30.68493151,
Gas,12,0.936073059,
Gas,7,5.557729941,
Gas,11,0.074719801,
Gas,1,0.273972603,
Oil,1,20.2739726,
Gas,23,0.810005956,
Oil,199,0.163832863,
Gas,98,0.547945205,
Gas,62,0.044189129,
Gas,4,2.054794521,
Gas,6,69.13242009,
Gas,142,0.005788154,
Gas,1,0.633547397,
Oil,158,0.00042515,
Oil,8,6.712109589,
Gas,52,0.284864067,
Gas,27,0,
Gas,0,,
Gas,23,0.028817153,
Oil,8,0.231452055,
Gas,1,2.777424658,
Gas,4,0.110465753,
Oil,7,1.190324853,
Gas,10,0.277742466,
Gas,5,0.925808219,
Gas,2,0.110465753,
Oil,2,0.46290411,
Gas,1,2.777424658,
Gas,3,10.18389041,
Gas,25,0.111096986,
Gas,2,0.33139726,
Oil,4,4.629041096,
Gas,16,0.347178082,
Gas,7,0.252493151,
Oil,16,1.388712329,
Gas,18,0.25716895,
Gas,1,2.777424658,
Gas,1,4.629041096,
Gas,1,5.554849315,
Gas,1,12.03550685,
Gas,1,1.851616438,
Gas,1,1.851616438,
Gas,1,4.629041096,
Gas,1,0.925808219,
Gas,1,22.21939726,
Gas,1,0.441863014,
Oil,1,1.851616438,
Gas,1,2.777424658,
Gas,5,0.547945205,
Oil,12,26.68949772,
Gas,413,0.000663372,
Oil,4,0.136986301,
Oil,5,176.4383562,
Gas,1651,0.5960688,
Gas,1811,0.030105217,
Gas,83,0.112229741,
Gas,9,0.121765601,
Oil,57,0.403749099,
Gas,26,0.042149631,
Oil,10,0.054794521,
Oil,5,0.383561644,
Gas,5,0.109589041,
Oil,4,45.13315068,
Gas,195,0.023738672,
Gas,5,1.94419726,
Oil,113,0.037147775,
Oil,51,0.008663981,
Oil,6,0.294575342,
Oil,20,0.386630137,
Oil,56,0.011835616,
Oil,6,1.031013699,
Oil,75,0.026511781,
Oil,28,0.086794521,
