O/G,TB_SMALL_VENT,TB_SMALL_FLARE
Gas,0.441863014,
Gas,3.093041096,
Gas,4.381808219,
Oil,0.010174477,
Gas,0.441863014,
Oil,0,
Gas,0.33139726,
Oil,0,
Gas,0.441863014,
Gas,38.98915068,
Gas,1.41137197,
Gas,2.651835616,
Gas,0.185957793,
Gas,4.395835616,
Gas,0.038224658,
Oil,3.440219178,
Gas,0.382246575,
Gas,2.293479452,
Gas,105.2133699,
Gas,0,
Oil,,
Gas,0.132558904,
Oil,1.215123288,
Oil,0.020084682,
Oil,0.534246575,
Oil,0,
Gas,,
Gas,0.365980764,
Gas,0.054606654,
Oil,0,
Gas,,
Gas,14.90761644,
Gas,0.088210748,
Gas,0.382246575,
Gas,0.573369863,
Gas,1.146739726,
Oil,,
Gas,0.114673973,
Gas,0.191123288,
Gas,,
Gas,2.814724782,
Gas,0.176421496,
Gas,0.478684932,
Oil,0.033989463,
Oil,0.751178082,
Oil,0.628270548,
Oil,0.003112097,
Oil,6.296547945,
Gas,0.00460274,
Gas,0.662794521,
Gas,0.020842595,
Gas,1.885282192,
Gas,0.026436249,
Gas,1.485150685,
Gas,0.012541963,
Gas,0.441614217,
Oil,0.054476871,
Oil,0.532473811,
Oil,0.063248532,
Oil,0.702366127,
Oil,0.01369863,
Oil,5.632876712,
Oil,0.120319635,
Oil,0.974964573,
Oil,0.004021616,
Oil,3.315068493,
Oil,0.071409633,
Oil,0.375890411,
Oil,0.147579909,
Oil,1.966027397,
Oil,0.120840183,
Oil,0.034141201,
Oil,5.468493151,
Oil,3.999269406,
Oil,0.007934404,
Oil,1.170410959,
Oil,0.251835616,
Oil,0.008429926,
Oil,0.663013699,
Oil,0.588127854,
Oil,0.939041096,
Oil,0.019418409,
Oil,0.126810176,
Oil,0.38630137,
Oil,0.44109589,
Oil,0.699543379,
Oil,0.418168709,
Oil,1.325418569,
Oil,0.051416776,
Oil,0.04544722,
Oil,0.536203523,
Oil,0.017190438,
Oil,0.073059361,
Oil,0.716894977,
Oil,0.026460602,
Oil,0.007827789,
Oil,0.219178082,
Oil,1.390410959,
Gas,1.698630137,
Gas,1.093399751,
Gas,0.143308746,
Gas,12.04109589,
Oil,0,
Oil,6.164383562,
Gas,0.714819427,
Oil,3.818939845,
Gas,0.002853881,
Oil,0.045124899,
Gas,0.015578834,
Oil,0.007305936,
Gas,0,
Gas,0,
Oil,,
Gas,0,
Oil,,
Gas,1.851616438,
Gas,1.233639452,
Gas,0.356080084,
Gas,0.370323288,
Gas,0.46290411,
Gas,5.101203288,
Gas,0.459711667,
Gas,0.057863014,
Gas,0.219178082,
Oil,0.925808219,
Gas,7.406465753,
Gas,0.015780822,
Oil,7.410958904,
Gas,0.153729072,
Gas,24.07305936,
Gas,0.013364517,
Oil,0.185205479,
Gas,56.47452055,
Gas,2.973814861,
Gas,0.082876712,
Oil,0.036894977,
Oil,82.39671233,
Gas,0.147297634,
Gas,2.645166341,
Gas,0.74313325,
Oil,0.008416438,
Gas,0.220931507,
Gas,1.656986301,
Oil,0.003945205,
Gas,0.220931507,
Oil,0.073643836,
Oil,0.073643836,
Oil,0.220931507,
Oil,1.546520548,
Gas,0.473424658,
Oil,0.039954338,
Oil,0.060882801,
Oil,0.323785803,
Oil,0.711162926,
Gas,0.005591278,
Oil,22.19178082,
Gas,0.070450098,
Oil,0.063714559,
Gas,12.96803653,
Gas,0.009669621,
Oil,0.102739726,
Gas,0.547945205,
Oil,0.02739726,
Oil,0.110410959,
Gas,0.147305936,
Gas,3.886780822,
Gas,0.030440218,
Oil,0.040474886,
Gas,0.055232877,
Oil,0.370323288,
Oil,1.388712329,
Oil,0.020084682,
Oil,0.109589041,
Oil,2.328767123,
Gas,0.082191781,
Gas,0.821917808,
Oil,73.15068493,
Gas,0.148093299,
Gas,4.657534247,
Gas,21.31506849,
Gas,0.0152207,
