O/G,N_WELL,N_TANK
Gas,33,79
Gas,3,12
Gas,5,10
Gas,4,63
Gas,3,9
Gas,6,12
Gas,6,10
Oil,33,122
Oil,1,3
Oil,2,3
Oil,2,6
Oil,3,10
Gas,1,2
Gas,49,92
Gas,4,13
Gas,1,3
Gas,2,4
Gas,2,3
Gas,349,701
Gas,14,25
Gas,81,5
Gas,1,1
Gas,27,68
Gas,20,33
Gas,1,0
Gas,1,2
Gas,1,2
Gas,24,48
Gas,1,0
Oil,112,380
Oil,24,28
Oil,94,94
Oil,51,7
Oil,6,12
Oil,54,42
Oil,41,29
Oil,1,2
Oil,17,51
Oil,5,14
Oil,14,69
Oil,14,14
Oil,2,3
Oil,3,5
Oil,0,125
Oil,11,29
Oil,9,9
Oil,151,302
Oil,0,2
Oil,3,6
Oil,30,57
Oil,54,169
Oil,27,36
Oil,8,51
Oil,96,463
Oil,18,37
Oil,18,85
Oil,2,5
Oil,1,2
Oil,29,84
Oil,10,32
Oil,15,15
Oil,36,201
Oil,5,19
Oil,5,15
Oil,1,0
Oil,54,216
Oil,2,2
Oil,203,207
Oil,2,24
Oil,26,104
Oil,1,2
Oil,1,28
Oil,0,27
Oil,181,543
Oil,1,2
Oil,3,12
Oil,2,2
Oil,287,1034
Oil,9,48
Oil,20,87
Oil,228,850
Oil,24,36
Oil,47,189
Oil,347,976
Oil,5,5
Oil,5,26
Oil,277,369
Oil,122,637
Oil,89,18
Oil,106,310
Oil,6,36
Oil,194,631
Oil,5,5
Oil,88,314
Oil,227,1078
Oil,269,2550
Oil,32,32
Oil,18,29
Oil,1,6
Gas,1,2
Gas,4,3
Gas,21,56
Gas,12,18
Oil,89,123
Oil,2,5
Oil,42,85
Oil,162,1296
Oil,14,36
Oil,20,119
Oil,2,4
Oil,896,2750
Oil,109,379
Oil,324,977
Oil,35,125
Oil,14,14
Oil,113,276
Oil,36,144
Oil,15,32
Oil,285,620
Oil,299,1115
Oil,173,32
Oil,16,58
Oil,33,136
Oil,250,963
Oil,46,172
Oil,191,692
Oil,153,459
Oil,366,1298
Oil,5,18
Oil,4,11
Oil,198,199
Oil,35,132
