EF_W_NGPNEUMATIC_PMP_UNITS.FACILITY_NAME,EF_W_NGPNEUMATIC_PMP_UNITS.FACILITY_ID,EF_W_NGPNEUMATIC_PMP_UNITS.REPORTING_YEAR,EF_W_NGPNEUMATIC_PMP_UNITS.TABLE_NUM,EF_W_NGPNEUMATIC_PMP_UNITS.TABLE_DESC,EF_W_NGPNEUMATIC_PMP_UNITS.INDUSTRY_SEGMENT,EF_W_NGPNEUMATIC_PMP_UNITS.PNEUM_PUMP_TYPE,EF_W_NGPNEUMATIC_PMP_UNITS.PNEUM_PUMP_TYPE_TOTAL_CO2_EMM,EF_W_NGPNEUMATIC_PMP_UNITS.TOTAL_CH4_EMISSIONS,EF_W_NGPNEUMATIC_PMP_UNITS.TOTAL_PNEUMATIC_PUMP_COUNT,EF_W_NGPNEUMATIC_PMP_UNITS.ESTIMATED_NUMBER_OF_HOURS
EP Energy E&P 220 Gulf Coast Basin,1008092,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,10.3,62.28,53,8111.239819
#540 BONANZA CREEK ENERGY - DENVER BASIN,1000355,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,3,33.7,120,1556
Samson Resources 260 East Texas Basin,1008850,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,87.6,1881.6,1074,7378
Energen Resources Corporation 430 Permian Basin,1008836,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,3.4,10.53,8,8760
Sheridan Production Company LLC 260 East Texas Basin,1008392,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,11.8,199.9,142,6175
Equinor USA Onshore Properties - APB Basin 160A,1011688,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Uinta Basin - AAPG Province 575,1009165,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,656.7,6085.33,3496,7708.269
Parallel Energy-360-Anadarko,1005728,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Hilcorp Alaska  LLC 890 Arctic Slope Basin,1011782,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
GulfTex Gulf Coast Basin #220,1011847,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.1,18.4,11,6640.8
575 Uinta Basin QEP Energy Company,1009282,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,20.3,1086.6,1010,4616
Berry Petroleum Company - Los Angeles Basin 760,1008308,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Extraction Oil & Gas  Inc.,1011761,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Atlas 360/Anadarko Basin - Nash,1011547,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.7,55.08,34,7461
Matador Production Company - Permian Basin,1012068,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,4.3,219.1,131,8760
Appalachian Basin (Eastern Overthrust Area),1010721,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.3,110.43,51,8760
Cimarex Energy Co. of Colorado 350 South Oklahoma,1008697,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.7,25.5,16,8202
Stanolind Production LLC,1011662,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Arkoma Basin,1010205,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,120.1,1399.38,653,8760
Williston Basin,1010142,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Hess Corporation - 430 - Permian Basin,1008634,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Oxy Permian Basin - 430,1008141,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,24.3,13.28,123,950
Sanguine Gas Exploration  LLC 350 South Oklahoma Folded Belt,1010484,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Shoreline Southeast LLC - Basin 220 (Gulf Coast Basin),1011260,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,6.7,198.18,98,8596
JMA Energy 360,1008411,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,8,220.14,116,8760
Seneca East Facilities,1009301,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0,9.7,7,6000
Elk Operating Services  LLC 585 Paradox Basin,1009956,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Mid-Gulf Coast Basin Code 210,1008506,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.9,38.8,215,872.6
Nadel and Gussman Permian Basin No. 430,1009788,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.4,50.1,31,8760
Black Hills Exploration and Production (New Mexico  San Juan Basin Field Facilities),1010224,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Chevron MCA 535 Green River Basin,1009052,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,15.6,660.79,331,8760
Riviera Resources 430 Permian Basin Production Segment,1008365,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
GULF COAST BASIN,1010222,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,178,1379.82,790,8760
Valence Operating Co 260 East Texas Basin,1008587,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,8.4,127.54,64,8760
Black Hills Exploration and Production (Colorado Piceance Basin Facilties),1012052,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
430 Permian Basin QEP Energy Company,1009691,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.2,8,8,5343
Indigo Resources LLC 260 East Texas Basin,1011976,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,10.9,221.7,111,8700
Bluestone Natural Resources 400 Ouachita Folded Belt,1009860,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,50.9,394.73,226,8760
MERIT ENERGY CO LLC 430 PERMIAN BASIN,1009273,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,4.9,134.46,89,7819.53
Williston Basin (Petro-Hunt  LLC),1010190,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Grizzly Green River Basin 535,1011518,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,30.6,294.34,157,8760
J. Cleo Thompson & James Cleo Thompson  Jr. L.P. 430 Permian Basin,1007037,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Caelus Natural Resources Alaska 890 - Arctic Slope Basin,1002157,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Jones Energy 360 Anadarko Basin,1009547,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,27.3,211.34,121,8760
Encino Operating  L.L.C. - Anadarko Basin,1011839,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.1,5.1,3,8760
SM Energy (Basin 220) South Texas,1009624,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,3.1,85.84,49,8760
Endeavor Energy Resources LP 430 Permian Basin,1011659,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
YPC 515 Powder River Basin,1008230,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.1,1.47,2,4285.698504
Denbury Onshore LLC 210 Mid-Gulf Coast,1008942,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0,8.68,4,8760
CS1,1011304,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
350 South Oklahoma Folded Belt,1009119,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0,3.58,2,8760
Urban 220 Gulf Coast Basin (LA  TX),1011652,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,5.9,45.41,26,8760
MACPHERSON OIL COMPANY,1004628,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
BOPCO  L.P. 430 Permian basin,1009030,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,2.7,31.37,19,8760
Indigo Minerals  LLC,1007599,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,6.5,51,27,8700
Riviera Resources 535 Green River Basin Production Segment,1010397,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,13.3,158.89,96,7611.34375
EOG Resources  Inc. 540 Denver basin,1008979,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.7,5.5,6,5876
230 Arkla Basin QEP Energy Company,1009283,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,300.4,3655.8,1806,8349
Green River Basin - AAPG Province 535,1008204,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,72.1,691.48,368,8760
Ursa Resources Group II - 595 - Piceance Basin,1010181,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1,9.4,5,8760
EOG Resources  Inc. 535 Green River basin,1008353,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,693.1,2060.6,1270,8705
Eagle Petroleum- Lynch Canyon Field,1011804,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Kash Oil & Gas - Basin 220,1003754,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0,3.8,21,730
EOG Resources  Inc. 430 Permian basin,1008351,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,50.6,544.1,338,8474
Impact E&P Powder River Basin Operations,1009126,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Crescent Point Energy Corporation Williston Basin (395) Operations,1010521,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
SandRidge 360 Anadarko Basin,1008806,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,33.9,2820.98,1536,8760
XTO Energy Inc 595 Piceance,1009141,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
San Juan Basin (580),1007484,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Whiting Oil and Gas Corporation 395 Williston Basin,1009197,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Riviera Resources 575 Uinta Basin Production Segment,1011420,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
360 Anadarko Basin DEC,1008287,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,2.4,111.3,79,6782
Parsley Energy  Inc. 430 Permian Basin,1011555,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Liberty Resources Managment LLC 395 Williston Basin,1012021,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
345 Arkoma Basin - BP America Production Company,1009169,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.8,27.66,37,3077.8
WHRMC - ARKLA BASIN-ONSHORE PRODUCTION,1012114,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,12.4,287.7,136,8760
ConocoPhillips' Uinta (575),1007481,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Whiting Oil and Gas Corporation 595 Piceance Basin,1009193,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,10.7,41.08,23,8731
Unit Petroleum 783 Anadarko Basin,1008241,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,33.7,1001.3,586,8297
Great Western Oil & Gas Company - D-J Basin,1008794,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Aera Energy San Joaquin Basin,1008346,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
EP Energy E&P 230 Arkla basin,1008155,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,77.2,400.87,229,8728.4848485
Vantage Energy Appalachia II LLC 160A Appalachia Basin Eastern Overthrust Area,1011678,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.1,75.6,82,5987
RIM Operating  Inc. San Juan Basin Operations,1008273,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.2,11.01,6,8760
Equal Energy-355-Chautaqua Platform,1010176,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.7,119.9,74,8760
EagleRidge Operating  LLC. Strawn Basin,1011763,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,62.8,47.24,32,8760
XTO Energy Inc 420 Fort Worth Syncline,1009388,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,20.3,340.69,183,8717.874153
FourPoint Energy  LLC 360 Anadarko Basin,1011854,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,12,481.64,304,8024
Slawson Exploration - Williston Basin 395,1009106,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
FDL Operating  LLC (Mississippi),1011655,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,9.2,71.61,41,8760
Basin 360 Oil & Gas Production,1008029,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,4.1,168.05,105,8760
TPIC Basin 220,1006770,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,8,103.46,53,8760
Permian Basin - AAPG Province 430,1008449,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.9,14.14,8,8760
Rex Energy Corporation Appalachian Basin Eastern Overthrust (160A) Operations,1011308,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0,2.19,1,8760
Merit Energy Co. South Texas 220 Gulf Coast Basin,1000435,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,18.5,904.43,460,8760
SRC Energy  Inc.,1011894,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Encana Oil & Gas - Piceance Basin,1008207,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,40.1,731.78,475,8760
260 East Texas Basin - BP America Production Company,1009170,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0,.01,3,12
CCI Gulf Coast Upstream LLC and CCI East Texas Upstream LLC,1010621,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,41.3,878.5,454,8760
Vine Oil & Gas  LP Arkla Basin,1008081,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,57.1,381.5,180,8760
Basin 395 North Dakota - OSP,1008577,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
XTO Energy Inc 580 San Juan,1009142,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,20.2,387.97,212,8537.0943396
Chesapeake Operating LLC  260 - East Texas Basin,1008528,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.1,2.15,1,8712
Basin 220 South TX & South LA - OSP,1008576,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Unit Petroleum 166 Golf Coast,1008242,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,9.2,89.78,69,7376.82
Key Production Co. 360 Anadarko,1008703,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.8,68,38,8342
Cimarex Energy Co. 350 South Oklahoma,1008545,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.9,36.7,26,7272
Huntington Energy  L.L.C - 355 Chautauqua Platform,1011699,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Dugan Production Corp- San Juan Basin,1008540,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Samson Resources 395 Williston Basin,1008859,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
515 Powder River Basin DEC,1009278,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.8,5.2,3,8704
Greylock Energy,1006564,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.1,48.46,24,8760
East Texas Facility,1008713,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.3,6.42,10,2880
Apache Corp. - Palo Duro,1010603,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Texas Keystone  Inc.,1008670,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0,2,1,8760
Ovintiv USA Inc. 575.Uinta,1008407,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.7,42.1,25,8425
Compass Production Partners  LP - Permian Basin #430,1008959,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,.1,1.71,1,8760
Samson Resources 580 San Juan Basin,1008094,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,2.2,14.7,7,8760
EOG Resources  Inc. 400 Ouachita folded belt,1009246,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,5.1,43.9,21,8757
Muskegon Development Company,1009436,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
Chevron MCA 530 Wind River Basin,1009053,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,2.2,122.55,63,8760
Chesapeake Operating LLC  515 - Powder River Basin,1008538,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
BBOG Gulf Coast Basin #220,1011534,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,15.4,212.45,127,8256.7559055
Sage Natural Resources 415 Strawn Basin,1011674,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,10,64.41,38,8760
SOUTHLAND ROYALTY COMPANY LLC – SAN JUAN BASIN 580,1011978,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,34.3,193.2,94,8760
Sanguine Gas Exploration  LLC 360 Anadarko Basin Production,1010485,2015,Table C.1,NG Driven Pneumatic Pumps emissions,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,,,
