GAS_SENT_TO_FLARE,FLARE_FEED_GAS_CH4_MOLE_FRACT
5223465.426,0.1749229
5223465.426,0.1749229
5160371.384,0.19
5160371.384,0.19
5154149.628,0.599424
5154149.628,0.599424
5132363.512,0.5720197
5132363.512,0.5720197
5131530.894,0.599424
5131530.894,0.599424
5109993.525,0.599424
5109993.525,0.599424
5097571.761,0.5995974
5097571.761,0.5995974
5066526.933,0.1749229
5066526.933,0.1749229
5025272.546,0.5844935
5025272.546,0.5844935
5001687.663,0.5844935
5001687.663,0.5844935
4999531.074,0.5844935
4999531.074,0.5844935
4979233.301,0.5718803
4979233.301,0.5718803
4975396.638,0.5926215
4975396.638,0.5926215
4974713.031,0.5995974
4974713.031,0.5995974
4931004.507,0.5995974
4931004.507,0.5995974
4925961.095,0.5844935
4925961.095,0.5844935
4921996.073,0.5844935
4921996.073,0.5844935
4919316.16,0.5995974
4919316.16,0.5995974
4903232.856,0.5995974
4903232.856,0.5995974
4892036.71,0.599424
4892036.71,0.599424
4872383.686,0.5995974
4872383.686,0.5995974
4863133.358,0.5844935
4863133.358,0.5844935
4861923.582,0.5720197
4861923.582,0.5720197
4856700.5,0.5398128
4856700.5,0.5398128
4840735.963,0.19
4840735.963,0.19
4827877.493,0.5844935
4827877.493,0.5844935
4801753.426,0.5995974
4801753.426,0.5995974
4801088.905,0.5995974
4801088.905,0.5995974
4800828.956,0.5398128
4800828.956,0.5398128
4775191.29,0.5720197
4775191.29,0.5720197
4771605.574,0.19
4771605.574,0.19
4747693.608,0.5844935
4747693.608,0.5844935
4735476.251,0.5995974
4735476.251,0.5995974
4712272.376,0.5995974
4712272.376,0.5995974
4708303.642,0.5995974
4708303.642,0.5995974
4706615.04,0.5995974
4706615.04,0.5995974
4701099.99,0.5844935
4701099.99,0.5844935
4698397.704,0.5720197
4698397.704,0.5720197
4679118.839,0.5720197
4679118.839,0.5720197
4678642.695,0.5398128
4678642.695,0.5398128
4655548.699,0.5995974
4655548.699,0.5995974
4630648.849,0.5720197
4630648.849,0.5720197
4594987.745,0.19
4594987.745,0.19
4584284.572,0.5398128
4584284.572,0.5398128
4580097.87,0.19
4580097.87,0.19
4577445.97,0.5995974
4577445.97,0.5995974
4574826.303,0.5844935
4574826.303,0.5844935
4540801.69,0.5398128
4540801.69,0.5398128
4534413.399,0.5720197
4534413.399,0.5720197
4508318.947,0.5718803
4508318.947,0.5718803
4498252.821,0.5995974
4498252.821,0.5995974
4462835.597,0.5718803
4462835.597,0.5718803
4456509.598,0.5398128
4456509.598,0.5398128
4424996.675,0.5995974
4424996.675,0.5995974
4414572.517,0.5844935
4414572.517,0.5844935
4397433.942,0.5995974
4397433.942,0.5995974
4388610.438,0.5398128
4388610.438,0.5398128
4361010.443,0.1749229
4361010.443,0.1749229
4361001.52,0.5995974
4361001.52,0.5995974
4338902.519,0.5995974
4338902.519,0.5995974
4299355.307,0.5844935
4299355.307,0.5844935
4294627.08,0.5718803
4294627.08,0.5718803
4291063.068,0.599424
4291063.068,0.599424
4280750.176,0.5398128
4280750.176,0.5398128
4275076.886,0.5398128
4275076.886,0.5398128
4270100.833,0.5995974
4270100.833,0.5995974
4258023.895,0.5995974
4258023.895,0.5995974
4251559.695,0.5844935
4251559.695,0.5844935
4198096.158,0.5844935
4198096.158,0.5844935
4197421.447,0.5844935
4197421.447,0.5844935
4177665.518,0.5398128
4177665.518,0.5398128
4120079.112,0.5926215
4120079.112,0.5926215
4114225.413,0.5995974
4114225.413,0.5995974
4089125.871,0.5718803
4089125.871,0.5718803
4081754.548,0.19
4081754.548,0.19
4055126.883,0.1749229
4055126.883,0.1749229
4013585.921,0.5844935
4013585.921,0.5844935
4000413.727,0.599424
4000413.727,0.599424
3995955.437,0.5995974
3995955.437,0.5995974
3958431.968,0.19
3958431.968,0.19
3937912.946,0.5995974
3937912.946,0.5995974
3930293.81,0.5398128
3930293.81,0.5398128
3930087.058,0.5844935
3930087.058,0.5844935
3928093.309,0.5844935
3928093.309,0.5844935
3923934.623,0.599424
3923934.623,0.599424
3917196.981,0.1749229
3917196.981,0.1749229
3893666.628,0.5995974
3893666.628,0.5995974
3883759.248,0.5844935
3883759.248,0.5844935
3831332.569,0.3629321
3831332.569,0.3629321
3826139.494,0.5718803
