EF_W_ATM_STG_TANKS_CALC1OR2.FACILITY_NAME,EF_W_ATM_STG_TANKS_CALC1OR2.FACILITY_ID,EF_W_ATM_STG_TANKS_CALC1OR2.REPORTING_YEAR,EF_W_ATM_STG_TANKS_CALC1OR2.TABLE_NUM,EF_W_ATM_STG_TANKS_CALC1OR2.TABLE_DESC,EF_W_ATM_STG_TANKS_CALC1OR2.INDUSTRY_SEGMENT,EF_W_ATM_STG_TANKS_CALC1OR2.SUB_BASIN_IDENTIFIER,EF_W_ATM_STG_TANKS_CALC1OR2.COUNTY_AND_STATE,EF_W_ATM_STG_TANKS_CALC1OR2.CALCULATION_METHOD,EF_W_ATM_STG_TANKS_CALC1OR2.SOFTWARE_PACKAGE_USED,EF_W_ATM_STG_TANKS_CALC1OR2.TWO_YEAR_DELAY_INDICATOR,EF_W_ATM_STG_TANKS_CALC1OR2.TOTAL_VOLUME_OF_OIL,EF_W_ATM_STG_TANKS_CALC1OR2.AVERAGE_SEPARATOR_TEMPERATURE,EF_W_ATM_STG_TANKS_CALC1OR2.AVERAGE_SEPARATOR_PRESSURE,EF_W_ATM_STG_TANKS_CALC1OR2.AVERAGE_A_P_I_GRAVITY,EF_W_ATM_STG_TANKS_CALC1OR2.MIN_FLASH_CO2_CONCENTRATION,EF_W_ATM_STG_TANKS_CALC1OR2.MAX_GAS_CO2_CONCENTRATION,EF_W_ATM_STG_TANKS_CALC1OR2.MIN_FLASH_CH4_CONCENTRATION,EF_W_ATM_STG_TANKS_CALC1OR2.MAX_FLASH_CH4_CONCENTRATION,EF_W_ATM_STG_TANKS_CALC1OR2.NUMBER_OF_WELLS_SEND_OIL,EF_W_ATM_STG_TANKS_CALC1OR2.ATMOSPHERIC_TANK_COUNT,EF_W_ATM_STG_TANKS_CALC1OR2.NOT_ON_WELL_PAD_TANK_COUNT,EF_W_ATM_STG_TANKS_CALC1OR2.WERE_EMISSIONS_VAPOR_RECOVERY,EF_W_ATM_STG_TANKS_CALC1OR2.TANKS_WITH_VAPOR_RECOVERY,EF_W_ATM_STG_TANKS_CALC1OR2.ANNUAL_CO2_RECOVERED,EF_W_ATM_STG_TANKS_CALC1OR2.ANNUAL_CH4_RECOVERED,EF_W_ATM_STG_TANKS_CALC1OR2.VAPOR_RECOVERY_CO2_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.VAPOR_RECOVERY_CH4_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.WERE_EMISSIONS_VENT_TO_ATM,EF_W_ATM_STG_TANKS_CALC1OR2.TANKS_VENTING_TO_ATM,EF_W_ATM_STG_TANKS_CALC1OR2.VENTING_CO2_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.VENTING_CH4_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.WERE_EMISSIONS_FLARED,EF_W_ATM_STG_TANKS_CALC1OR2.TANKS_WITH_FLARING,EF_W_ATM_STG_TANKS_CALC1OR2.FLARING_CO2_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.FLARING_CH4_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.FLARING_N2O_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.NUM_SEPS_WITH_STUCK_DUMP_VAL,EF_W_ATM_STG_TANKS_CALC1OR2.HRS_DUMP_VALVES_DID_NOT_CLOSE,EF_W_ATM_STG_TANKS_CALC1OR2.DUMP_VALVE_CO2_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.DUMP_VALVE_CH4_EMISSIONS,EF_W_ATM_STG_TANKS_CALC1OR2.API_WELL_NUMBERS
White Oak Energy 220 Gulf Coast Basin (LA  TX),1009783,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],220 - ST MARY  LA (101) - Oil,,Calculation Methodology 1,BR&E ProMax v3.2,No,55432,128.3333333,30,36.3333333,0,.027336,.1860674,.2933816,9,21,0,No,,,,,,Yes,17,.0288676,1.8480569,Yes,4,6.4369528,.0057829,.0000108,,,,,
Alta Mesa Services  LP,1009511,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],220 - ST MARY  LA (101) - Oil,,Calculation Methodology 1,E&P Tanks,No,70255,80,32,42,.006,.02,.68,.898,55,1,0,No,,,,,,Yes,1,14.85,384.2,No,,,,,,,,,
GULF COAST BASIN,1010222,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],220 - STARR  TX (427) - Oil,,Calculation Methodology 1,BR&E ProMax v3.2,No,122272,79.3333333,32.5,45.4633333,.0095931,.0390644,.0968295,.7981991,17,17,0,No,,,,,,Yes,17,.7655394,4.971055,No,,,,,,,,,
Goodrich Petroleum  Basin 220 (Gulf Coast Basin),1010684,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],220 - TANGIPAHOA  LA (105) - Oil,,Calculation Methodology 1,E&P Tanks 2.0,No,487269.8,120,45.56,38.47,.0085,.0085,.72632,.72362,9,29,0,No,,,,,,No,,,,Yes,29,646.54,2.1988,.000973,,,,,
TPIC Basin 220,1006770,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],220 - TERREBONNE  LA (109) - Oil,,Calculation Methodology 2,,No,6570,140,0,32,.0119,.0119,.7139,.7139,4,4,0,No,0,0,0,0,0,Yes,4,0,.7016,No,0,0,0,0,,,,,
Alta Mesa Services  LP,1009511,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],220 - TERREBONNE  LA (109) - Oil,,Calculation Methodology 1,E&P Tanks,No,8227,80,32,42,.006,.02,.68,.898,49,5,0,No,,,,,,Yes,5,2.13,49.76,No,,,,,,,,,
GULF COAST BASIN,1010222,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],220 - TERREBONNE  LA (109) - Oil,,Calculation Methodology 1,BR&E ProMax v3.2,No,2034630,77.2911392,32.5,43.8501266,.008694,.0390644,.274412,.7981991,120,120,0,No,,,,,,Yes,120,10.9721419,83.4181857,No,,,,,,,,,
BBX 220 Gulf Coast Basin,1011749,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],220 - TYLER  TX (457) - Oil,,Calculation Methodology 1,BR&E Promax v3.2,No,7658,120,35,50.9,.0188089,.0188089,.2745993,.2745993,1,12,3,No,,,,,,No,,,,Yes,3,11.1300308,.0100213,.0000184,,,,,
TPIC Basin 220,1006770,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],220 - VERMILION  LA (113) - Oil,,Calculation Methodology 2,,No,561370,111.4166666667,0,39.648,.0108,.1004,.1649,.6798,25,15,10,No,0,0,0,0,0,Yes,15,5.1,30.1610999828,No,10,201.1,1.2293759956,.3284738988,,,,,
White Oak Energy 220 Gulf Coast Basin (LA  TX),1009783,2015,Table J.1.,Wellhead gas-liquid separator or well with oil throughput greater than or equal to 10 barrels/day using Calculation Methodology 1 or 2,Onshore petroleum and natural gas production [98.230(a)(2)],220 - VERMILION  LA (113) - Oil,,Calculation Methodology 1,BR&E ProMax v3.2,No,105231,146,41,31.35,.012152,.0713417,.2151131,.455436,20,5,0,No,,,,,,No,,,,Yes,5,45.6902509,.0691192,.0000762,,,,,
