EF_W_FACILITY_OVERVIEW.FACILITY_NAME,EF_W_FACILITY_OVERVIEW.FACILITY_ID,EF_W_FACILITY_OVERVIEW.REPORTING_YEAR,EF_W_FACILITY_OVERVIEW.TABLE_NUM,EF_W_FACILITY_OVERVIEW.TABLE_DESC,EF_W_FACILITY_OVERVIEW.INDUSTRY_SEGMENT,EF_W_FACILITY_OVERVIEW.BASIN_ASSOCIATED_WITH_FACILITY,EF_W_FACILITY_OVERVIEW.GAS_PROD_CAL_YEAR_FROM_WELLS,EF_W_FACILITY_OVERVIEW.GAS_PROD_CAL_YEAR_FOR_SALES,EF_W_FACILITY_OVERVIEW.OIL_PROD_CAL_YEAR_FOR_SALES,EF_W_FACILITY_OVERVIEW.SUB_BASIN_COUNTY,EF_W_FACILITY_OVERVIEW.SUB_BASIN_FORMATION_TYPE,EF_W_FACILITY_OVERVIEW.SUB_BASIN_IDENTIFIER,EF_W_FACILITY_OVERVIEW.GAS_OIL_WELL_RATIO,EF_W_FACILITY_OVERVIEW.WELL_PRODUCING_END_OF_YEAR,EF_W_FACILITY_OVERVIEW.CH4_AVERAGE_MOLE_FRACTION
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BEAVER  OK (7),Other tight reservoir rock,360 - BEAVER  OK (7) - Other tight reservoir rock,,173,.869
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BECKHAM  OK (9),High permeability gas,360 - BECKHAM  OK (9) - High permeability gas,,2,.906
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BLAINE  OK (11),High permeability gas,360 - BLAINE  OK (11) - High permeability gas,,20,.892
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CADDO  OK (15),High permeability gas,360 - CADDO  OK (15) - High permeability gas,,12,.913
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CADDO  OK (15),Oil,360 - CADDO  OK (15) - Oil,25694.3,1,.941
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CADDO  OK (15),Other tight reservoir rock,360 - CADDO  OK (15) - Other tight reservoir rock,,5,.867
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CANADIAN  OK (17),High permeability gas,360 - CANADIAN  OK (17) - High permeability gas,,12,.854
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CANADIAN  OK (17),Other tight reservoir rock,360 - CANADIAN  OK (17) - Other tight reservoir rock,,4,.854
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CLARK  KS (25),Other tight reservoir rock,360 - CLARK  KS (25) - Other tight reservoir rock,,11,.862
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CUSTER  OK (39),High permeability gas,360 - CUSTER  OK (39) - High permeability gas,,2,.962
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,CUSTER  OK (39),Other tight reservoir rock,360 - CUSTER  OK (39) - Other tight reservoir rock,,25,.845
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,DEWEY  OK (43),High permeability gas,360 - DEWEY  OK (43) - High permeability gas,,1,.925
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,DEWEY  OK (43),Oil,360 - DEWEY  OK (43) - Oil,7952.9,1,.753
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,DEWEY  OK (43),Other tight reservoir rock,360 - DEWEY  OK (43) - Other tight reservoir rock,,13,.822
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ELLIS  OK (45),Oil,360 - ELLIS  OK (45) - Oil,3861,5,.759
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ELLIS  OK (45),Other tight reservoir rock,360 - ELLIS  OK (45) - Other tight reservoir rock,,39,.864
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,FINNEY  KS (55),Oil,360 - FINNEY  KS (55) - Oil,47,1,.854
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,FINNEY  KS (55),Other tight reservoir rock,360 - FINNEY  KS (55) - Other tight reservoir rock,,1,.558
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GRADY  OK (51),High permeability gas,360 - GRADY  OK (51) - High permeability gas,,41,.872
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GRAY  TX (179),High permeability gas,360 - GRAY  TX (179) - High permeability gas,,14,.653
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HAMILTON  KS (75),Other tight reservoir rock,360 - HAMILTON  KS (75) - Other tight reservoir rock,,1,.622
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HANSFORD  TX (195),Other tight reservoir rock,360 - HANSFORD  TX (195) - Other tight reservoir rock,,9,.826
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HARPER  OK (59),High permeability gas,360 - HARPER  OK (59) - High permeability gas,,1,.791
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HARPER  OK (59),Other tight reservoir rock,360 - HARPER  OK (59) - Other tight reservoir rock,,36,.877
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HASKELL  KS (81),Other tight reservoir rock,360 - HASKELL  KS (81) - Other tight reservoir rock,,2,.685
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HEMPHILL  TX (211),High permeability gas,360 - HEMPHILL  TX (211) - High permeability gas,,2,.965
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HEMPHILL  TX (211),Other tight reservoir rock,360 - HEMPHILL  TX (211) - Other tight reservoir rock,,30,.833
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HUTCHINSON  TX (233),Other tight reservoir rock,360 - HUTCHINSON  TX (233) - Other tight reservoir rock,,1,.878
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,LIPSCOMB  TX (295),Oil,360 - LIPSCOMB  TX (295) - Oil,6019.2,1,.854
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,LIPSCOMB  TX (295),Other tight reservoir rock,360 - LIPSCOMB  TX (295) - Other tight reservoir rock,,21,.828
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MAJOR  OK (93),Other tight reservoir rock,360 - MAJOR  OK (93) - Other tight reservoir rock,,5,.932
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MEADE  KS (119),Other tight reservoir rock,360 - MEADE  KS (119) - Other tight reservoir rock,,2,.832
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MORTON  KS (129),Other tight reservoir rock,360 - MORTON  KS (129) - Other tight reservoir rock,,8,.666
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,OCHILTREE  TX (357),Other tight reservoir rock,360 - OCHILTREE  TX (357) - Other tight reservoir rock,,7,.841
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,POTTER  TX (375),High permeability gas,360 - POTTER  TX (375) - High permeability gas,,2,.689
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ROBERTS  TX (393),Oil,360 - ROBERTS  TX (393) - Oil,4341.1,1,.714
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ROBERTS  TX (393),Other tight reservoir rock,360 - ROBERTS  TX (393) - Other tight reservoir rock,,4,.865
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ROGER MILLS  OK (129),High permeability gas,360 - ROGER MILLS  OK (129) - High permeability gas,,6,.97
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ROGER MILLS  OK (129),Other tight reservoir rock,360 - ROGER MILLS  OK (129) - Other tight reservoir rock,,20,.885
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,SEWARD  KS (175),Oil,360 - SEWARD  KS (175) - Oil,761183.8,1,.764
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,SEWARD  KS (175),Other tight reservoir rock,360 - SEWARD  KS (175) - Other tight reservoir rock,,14,.793
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,SHERMAN  TX (421),Other tight reservoir rock,360 - SHERMAN  TX (421) - Other tight reservoir rock,,14,.634
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,STEVENS  KS (189),Other tight reservoir rock,360 - STEVENS  KS (189) - Other tight reservoir rock,,2,.786
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,TEXAS  OK (139),High permeability gas,360 - TEXAS  OK (139) - High permeability gas,,1,.858
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,TEXAS  OK (139),Other tight reservoir rock,360 - TEXAS  OK (139) - Other tight reservoir rock,,53,.813
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WASHITA  OK (149),High permeability gas,360 - WASHITA  OK (149) - High permeability gas,,8,.923
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WASHITA  OK (149),Other tight reservoir rock,360 - WASHITA  OK (149) - Other tight reservoir rock,,85,.904
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WHEELER  TX (483),High permeability gas,360 - WHEELER  TX (483) - High permeability gas,,2,.915
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WHEELER  TX (483),Oil,360 - WHEELER  TX (483) - Oil,10279.9,3,.836
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WHEELER  TX (483),Other tight reservoir rock,360 - WHEELER  TX (483) - Other tight reservoir rock,,7,.926
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WICHITA  KS (203),Oil,360 - WICHITA  KS (203) - Oil,47,1,.854
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WOODS  OK (151),Oil,360 - WOODS  OK (151) - Oil,9494.3,1,.905
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WOODS  OK (151),Other tight reservoir rock,360 - WOODS  OK (151) - Other tight reservoir rock,,5,.848
Kaiser-Francis Oil Company 360 Anadarko Basin,1009135,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,WOODWARD  OK (153),Other tight reservoir rock,360 - WOODWARD  OK (153) - Other tight reservoir rock,,13,.902
Timber Creek Energy,1009139,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,LAS ANIMAS  CO (71),Coal seam,455 - LAS ANIMAS  CO (71) - Coal seam,,475,.9874
XTO Energy Inc 595 Piceance,1009141,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,RIO BLANCO  CO (103),High permeability gas,595 - RIO BLANCO  CO (103) - High permeability gas,,15,.9030751
XTO Energy Inc 595 Piceance,1009141,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,RIO BLANCO  CO (103),Other tight reservoir rock,595 - RIO BLANCO  CO (103) - Other tight reservoir rock,,316,.8894819
XTO Energy Inc 580 San Juan,1009142,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,LA PLATA  CO (67),Coal seam,580 - LA PLATA  CO (67) - Coal seam,,124,.9679109
XTO Energy Inc 580 San Juan,1009142,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,LA PLATA  CO (67),High permeability gas,580 - LA PLATA  CO (67) - High permeability gas,,14,.9411047
XTO Energy Inc 580 San Juan,1009142,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,LA PLATA  CO (67),Oil,580 - LA PLATA  CO (67) - Oil,39.1316,1,.8661339
XTO Energy Inc 580 San Juan,1009142,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,RIO ARRIBA  NM (39),Coal seam,580 - RIO ARRIBA  NM (39) - Coal seam,,11,.8947771
XTO Energy Inc 580 San Juan,1009142,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,RIO ARRIBA  NM (39),High permeability gas,580 - RIO ARRIBA  NM (39) - High permeability gas,,88,.8370675
XTO Energy Inc 580 San Juan,1009142,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,SAN JUAN  NM (45),Coal seam,580 - SAN JUAN  NM (45) - Coal seam,,440,.9335864
XTO Energy Inc 580 San Juan,1009142,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,SAN JUAN  NM (45),High permeability gas,580 - SAN JUAN  NM (45) - High permeability gas,,1042,.816339
XTO Energy Inc 580 San Juan,1009142,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,SAN JUAN  NM (45),Oil,580 - SAN JUAN  NM (45) - Oil,10.5956,4,.7961367
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BEAVER  OK (7),High permeability gas,360 - BEAVER  OK (7) - High permeability gas,,17,.838105
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BECKHAM  OK (9),High permeability gas,360 - BECKHAM  OK (9) - High permeability gas,,16,.906944
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,BECKHAM  OK (9),Oil,360 - BECKHAM  OK (9) - Oil,39.1316,10,.906944
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,ELLIS  OK (45),High permeability gas,360 - ELLIS  OK (45) - High permeability gas,,6,.8896967
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,FINNEY  KS (55),High permeability gas,360 - FINNEY  KS (55) - High permeability gas,,39,.755881
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GRADY  OK (51),High permeability gas,360 - GRADY  OK (51) - High permeability gas,,1,.786155
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GRAY  TX (179),High permeability gas,360 - GRAY  TX (179) - High permeability gas,,17,.832581
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,GRAY  TX (179),Oil,360 - GRAY  TX (179) - Oil,0,170,.832581
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HANSFORD  TX (195),High permeability gas,360 - HANSFORD  TX (195) - High permeability gas,,47,.7904198
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HARPER  OK (59),High permeability gas,360 - HARPER  OK (59) - High permeability gas,,2,.8993
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HASKELL  KS (81),High permeability gas,360 - HASKELL  KS (81) - High permeability gas,,9,.6717031
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HASKELL  KS (81),Oil,360 - HASKELL  KS (81) - Oil,5.3103333,3,.761977
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,HUTCHINSON  TX (233),High permeability gas,360 - HUTCHINSON  TX (233) - High permeability gas,,1,.88717
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,KEARNY  KS (93),High permeability gas,360 - KEARNY  KS (93) - High permeability gas,,12,.691399
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,LIPSCOMB  TX (295),High permeability gas,360 - LIPSCOMB  TX (295) - High permeability gas,,59,.828082
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,LIPSCOMB  TX (295),Oil,360 - LIPSCOMB  TX (295) - Oil,.4635,18,.8660712
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MAJOR  OK (93),High permeability gas,360 - MAJOR  OK (93) - High permeability gas,,317,.8354712
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MAJOR  OK (93),Oil,360 - MAJOR  OK (93) - Oil,7.4777846,135,.8145805
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MAJOR  OK (93),Shale gas,360 - MAJOR  OK (93) - Shale gas,,1,.822253
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MEADE  KS (119),High permeability gas,360 - MEADE  KS (119) - High permeability gas,,1,.75618
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,MORTON  KS (129),High permeability gas,360 - MORTON  KS (129) - High permeability gas,,4,.72519
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,OCHILTREE  TX (357),High permeability gas,360 - OCHILTREE  TX (357) - High permeability gas,,25,.8626596
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,SEWARD  KS (175),High permeability gas,360 - SEWARD  KS (175) - High permeability gas,,55,.8125214
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,SEWARD  KS (175),Oil,360 - SEWARD  KS (175) - Oil,24.28,1,.7858
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,SHERMAN  TX (421),High permeability gas,360 - SHERMAN  TX (421) - High permeability gas,,1,.832581
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,STEVENS  KS (189),High permeability gas,360 - STEVENS  KS (189) - High permeability gas,,17,.7171539
XTO Energy Inc 360 Anadarko,1009143,2015,Table AA.1.ii,Onshore petroleum and natural gas production: Sub-Basin Characterization,Onshore petroleum and natural gas production [98.230(a)(2)],,,,,TEXAS  OK (139),High permeability gas,360 - TEXAS  OK (139) - High permeability gas,,237,.748378
